Auteur,Degré,Communauté
Alexander M. Rush,11,44
David Minnen,11,11
Philip S Yu,11,51
Thomas Leung,11,11
Paul A. Yushkevich,11,29
James C. Gee,11,29
Simon B. Eickhoff,11,18
Angela R. Laird,11,18
Bruce Fischl,11,120
Katrin Amunts,10,18
Tao Zhang,10,234
Andrew Rabinovich,10,249
Keping Long,10,107
Yan Xu,10,249
Tomás Kociský,10,10
Yukun Zhu,10,3
Tieniu Tan,10,178
Sanja Fidler,10,3
Zettlemoyer Luke,10,60
Wenhai Wang,10,28
Rob Fergus,10,4
Joan Bruna,10,4
Sergey Karayev,10,6
Huan Zhang,10,6
David Ha,10,10
Gholamreza Salimi Khorshidi,10,18
Joelle Pineau,10,3
Simon S. Du,10,126
Jose Caballero,10,52
Yong-Deok Kim,10,446
Léon Bottou,10,3
Minh-Thang Luong,10,4
Hanwang Zhang,10,249
Liu Yinhan,10,60
Shuiwang Ji,10,30
Lewis Mike,10,60
Mani B. Srivastava,10,6
Vladimir Fonov,10,173
Goyal Naman,10,60
Ghazvininejad Marjan,10,60
Tor D Wager,10,47
Vivek Srikumar,10,194
"Wang, Liwei",10,499
Vijay Vasudevan,10,4
Pierre Vandergheynst,10,4
Christopher Morris,10,117
Thomas E. Nichols,10,18
Geoffrey Ye Li,10,107
Chen Change Loy,10,28
Mark D'Esposito,10,183
Frank Seide,10,76
D. A. Boas,10,584
James C Gee,10,72
Brian B Avants,10,72
Jeff Clune,10,5
Thomas S. Huang,10,76
"Vinyals, Oriol",10,10
Chuanqi Tan,10,114
yutian li,9,82
Jeff Dean,9,4
Jian Sun,9,6
Chupin Marie,9,260
Habert Marie-Odile,9,260
Lehéricy Stéphane,9,260
Auzias Guillaume,9,260
Andreas Geiger,9,5
Benjamin Falcon,9,900
Gerardin Emilie,9,260
Gabriel Curio,9,151
Matthieu Cord,9,122
Brian Patenaude,9,18
Caiming Xiong,9,249
zhiheng huang,9,11
"Guibas, Leonidas J.",9,22
Marco Tettamanti,9,289
Giovanni Buccino,9,289
Zhangyang Wang,9,76
Ruqiang Yan,9,4
Samuel S. Schoenholz,9,4
Françoise Beaufays,9,68
Mohammad Norouzi,9,4
Jasper Snoek,9,3
Ming Yang,9,30
Iasonas Kokkinos,9,11
Zhen Li,9,522
K Zilles,9,284
G R Fink,9,284
N J Shah,9,284
W Maier,9,284
P Falkai,9,284
F Happé,9,284
Xiaohu You,9,107
Xiqi Gao,9,107
Fourat Haider,9,107
Declan G. M. Murphy,9,230
Steven C Williams,9,230
Zhao Song,9,6
Christopher D. Frith,9,675
Jan Dirk Wegner,9,400
R. Devon Hjelm,9,3
Stefan Haufe,9,151
Jo Schlemper,9,52
Scott E. Reed,9,249
John D. E. Gabrieli,9,183
Elaine R. Robertson,9,183
Jeffrey C. Cooper,9,183
Kevin N. Ochsner,9,183
Stan Birchfield,9,670
Shaad Boochoon,9,670
Eric Cameracci,9,670
Peter Vajda,9,6
Yuandong Tian,9,6
Yiming Wu,9,6
Ning Ge,9,194
Sity Lam,9,194
Catherine Graves,9,194
Noraica Davila,9,194
A Newen,9,284
P Bussfeld,9,284
K Vogeley,9,284
Vittorio Gallese,9,289
Maria Cristina Saccuman,9,289
Robin Murray,9,230
Muriel Walshe,9,230
Matthew Allin,9,230
Flavio Dell'Acqua,9,230
Jianhua Joshua Yang,9,194
Alberto Bizzi,9,230
Michel Thiebaut de Schotten,9,230
Dominic H Ffytche,9,230
Emmanuelle M. Grafals,9,194
Zhiyong Li,9,194
Hadi Aggoune,9,107
Dongfeng Yuan,9,107
Yang Yang,9,107
Thang To,9,670
Cem Anil,9,670
David Reese McKay,9,18
Kimberly L. Ray,9,18
Jessica A. Turner,9,18
Israel Liberzon,9,47
P. Mickle Fox,9,18
Javier Ortega-García,9,266
Teva Merlin,9,266
Sylvain Meignier,9,266
Ivan Magrin-Chagnolleau,9,266
Jun Ma,9,6
Wojciech Matusik,9,6
Petr Kellnhofer,9,6
Varun Jampani,9,670
Mark Brophy,9,670
David Acuna,9,670
Jonathan Tremblay,9,670
Aayush Prakash,9,670
Patrick D. McDaniel,9,70
mu li,9,82
Harald Haas,9,107
Yanghan Wang,9,6
Peizhao Zhang,9,6
Xiaoliang Dai,9,6
Guillaume Gravier,9,266
Corinne Fredouille,9,266
Jean-François Bonastre,9,266
Frédéric Bimbot,9,266
Douglas A. Reynolds,9,266
Dijana Petrovska-Delacrétaz,9,266
Yann N. Dauphin,9,44
Luke Zettlemoyer,9,44
Saad Jbabdi,9,18
jeffrey earp,9,291
grant gray,9,291
thomas m connolly,9,291
thomas hainey,9,291
elizabeth boyle,9,291
Daniela Perani,9,289
Stefano F Cappa,9,289
Giacomo Rizzolatti,9,289
Ferruccio Fazio,9,289
Paola Scifo,9,289
S Herrmann,9,284
Kwabena Boahen,9,318
Rodrigo Alvarez-Icaza,9,318
Massimo Danna,9,289
j s pereira,9,291
claudia ribeiro,9,291
manuel ninaus,9,291
theodore lim,9,291
michela ott,9,291
Donald F Klein,9,258
bing xu,9,82
Zhu Han,9,107
Shinji Watanabe,9,718
John R. Hershey,9,718
Erol Hepsaydir,9,107
S. Fletcher,9,107
Benali Habib,9,260
Lajos Hanzo,9,107
Dongjin Song,9,70
R Cameron Craddock,9,258
Stan Colcombe,9,258
Chao-Gan Yan,9,258
Brian Cheung,9,258
Holly J Garringer,9,900
Garib Murshudov,9,900
Alexey G Murzin,9,900
Wenjuan Zhang,9,900
Anand Chandrasekaran,9,318
Swadesh Choudhary,9,318
Emmett McQuinn,9,318
Peiran Gao,9,318
Ben Varkey Benjamin,9,318
Yan Liu,9,44
Michael M. Bronstein,9,4
Iulian Vlad Serban,9,3
Erich Elsen,9,10
Aditya Khosla,9,6
Jun Liu,9,6
Hoifung Poon,9,76
Andrea Vedaldi,9,10
Li Zhang,9,68
Alán Aspuru-Guzik,9,3
Jorge Aguilera-Iparraguirre,9,3
Jiawei Han,9,76
Deng Cai,9,76
Cuingnet Rémi,9,260
Colliot Olivier,9,260
naiyan wang,9,82
Yash Sharma,9,6
Florian Stimberg,9,10
Yi Li,9,67
Edward Lockhart,9,10
Norman Casagrande,9,10
Seb Noury,9,10
Kai Chen,9,4
Yang Chen,9,126
Zhen Lei,9,158
Jean-Marie Bussat,9,318
Michel Goedert,9,900
Sjors H W Scheres,9,900
Bernardino Ghetti,9,900
R Anthony Crowther,9,900
Ruben Vidal,9,900
Tessieras Jérôme,9,260
James Demmel,9,6
Xiaodan Song,9,6
Srinadh Bhojanapalli,9,6
Sanjiv Kumar,9,6
Jonathan Hseu,9,6
Ashish Vaswani,9,4
zheng zhang,9,82
chiyuan zhang,9,82
tianjun xiao,9,82
minjie wang,9,82
min lin,9,82
Yang You,9,6
Philipp Fischer,9,5
Sashank Reddi,9,6
Junhua Mao,9,30
Niki Parmar,8,4
Robert Tinn,8,76
Yu Gu,8,76
Hao Cheng,8,76
Michael Lucas,8,76
Naoto Usuyama,8,76
Tristan Naumann,8,76
Dzmitry Bahdanau,8,3
Esteban Real,8,4
Lixia Tian,8,178
Walter F. Stewart,8,354
Xinqing Zhang,8,178
Meng Liang,8,178
Yong He,8,178
Yufeng Zang,8,178
Rangharajan Venkatesan,8,24
Antonio Puglielli,8,24
Anurag Mukkara,8,24
Minsoo Rhu,8,24
Angshuman Parashar,8,24
Tao Wu,8,178
Saad Sadiq,8,431
Xiaobing Feng,8,42
Tao Luo,8,42
"Fridovich-Keil, Sara",8,591
"Mildenhall, Ben",8,591
"Tancik, Matthew",8,591
Pratul P. Srinivasan,8,591
jiang wang,8,11
yi yang,8,11
junhua mao,8,11
Ying-Chang Liang,8,107
Jawad Nagi,8,10
Frederick Ducatelle,8,10
Henrik Nielsen,8,634
Sanjeev Arora,8,126
Bharath Hariharan,8,78
Maja Pantic,8,76
Godfrey D Pearlson,8,598
Robert T Schultz,8,598
Xiaowei Hu,8,81
Qibin Hou,8,81
Shiow-Jiuan Lin,8,149
Ming Zhou,8,114
Furu Wei,8,114
Daniel Cremers,8,5
Patrick van der Smagt,8,5
Vladimir Golkov,8,5
Caner Hazirbas,8,5
