Auteur,Degré,Communauté
C Rottschy,7,488
Jasjit S. Suri,7,80
Andrew W. Senior,7,4
R. Nathan Spreng,7,204
Moustapha Cissé,7,44
Andreas Heinz,7,151
Jana Wrase,7,151
Brian Knutson,7,151
Torsten Wüstenberg,7,151
Michael Koslowski,7,151
Georg Juckel,7,151
Florian Schlagenhauf,7,151
jingdong wang,7,888
Eric P. Xing,7,3
Zhiting Hu,7,3
Omer Levy,7,249
Joshua Jeffries,7,258
Stefanie Beck,7,258
William T Oliver,7,258
Cynthia Krafft,7,258
Aisha Siddiqui,7,258
Erica E Fortune,7,258
Dean Sabatinelli,7,258
Jing Gao,7,70
Lu Su,7,70
Zhengdong Lu,7,126
haibin ling,7,888
yueting zhuang,7,888
Aaron P Batista,7,911
Byron M Yu,7,911
Elizabeth C Tyler-Kabara,7,911
Stephen I Ryu,7,911
Steven M Chase,7,911
Matthew D Golub,7,911
Alexander N. W. Taylor,7,436
Rabab K. Ward,7,76
Xinying Song,7,76
Jianshu Chen,7,76
Hamid Palangi,7,76
Kenton Lee,7,44
Ivana Isgum,7,464
Alexander Pritzel,7,10
Yori Zwols,7,10
Dylan Banarse,7,10
Somesh Jha,7,70
Max A. Viergever,7,464
Birgit A. Völlm,7,436
Adrià Puigdomènech Badia,7,10
Fei-Fei Li,7,11
Alexandre Alahi,7,11
Thang Luong,7,249
Matthew Webster,7,18
Karla L. Miller,7,18
Stan Z. Li,7,158
Dan Hendrycks,7,4
James Kirkpatrick,7,10
Guillaume Desjardins,7,10
Neil C. Rabinowitz,7,10
Mark William Woolrich,7,18
Joseph D. Ramsey,7,18
Rebecca Elliott,7,436
John F. W. Deakin,7,436
Shane McKie,7,436
John Stirling,7,436
Joseph Gomes,7,117
Rhiannon Corcoran,7,436
Paul Richardson,7,436
victor lempitsky,7,40
mario marchand,7,40
H Duffau,7,13
P Y Hervé,7,13
V Beaucousin,7,13
M Vigneau,7,13
Hayit Greenspan,7,188
Rajeev Balasubramonian,7,194
Naveen Muralimanohar,7,194
jiwei li,7,163
Tim Harley,7,10
Mihai Datcu,7,400
Raquel E. Gur,7,337
Ruben C. Gur,7,337
Hakon Hakonarson,7,337
Anirban Nag,7,194
Ali Shafiee,7,194
Dalong Du,7,81
Zhizhong Su,7,81
Vibhav Vineet,7,81
Bernardino Romera-Paredes,7,81
Shuai Zheng,7,81
Sadeep Jayasumana,7,81
O Houdé,7,13
Tsui-Wei Weng,7,6
Surya Ganguli,7,4
joelle pineau,7,3
Daniel H. Wolf,7,337
Hanxiao Liu,7,10
Patrick T Sadtler,7,911
Kristin M Quick,7,911
Robert Oostenveld,7,25
Weihua Hu,7,117
Bowen Liu,7,117
Prafulla Dhariwal,7,4
Michael Collins,7,527
Slav Petrov,7,527
Kuzman Ganchev,7,527
Alessandro Presta,7,527
David Weiss,7,527
Daniel Andor,7,527
Chris Alberti,7,527
Kishlay Jha,7,70
Guangxu Xun,7,70
francois laviolette,7,40
David K. Menon,7,52
Andrew D. Kane,7,52
Joanna P. Simpson,7,52
pascal germain,7,40
hana ajakan,7,40
yaroslav ganin,7,40
evgeniya ustinova,7,40
Zhiwei Jin,7,70
Yaqing Wang,7,70
Fenglong Ma,7,70
Luca Daniel,7,6
Inderjit S. Dhillon,7,6
Duane S. Boning,7,6
Hongge Chen,7,6
Andrej Karpathy,7,11
Seunghoon Hong,7,249
Mark A. Elliott,7,337
Kosha Ruparel,7,337
James Loughead,7,337
Theodore D. Satterthwaite,7,337
"Lee, Honglak",7,317
Tao Wang,7,249
Zhiguo Ding,7,178
Jin Fan,7,68
Tim Salimans,7,4
Saurabh Gupta,7,6
Maciej A. Mazurowski,7,176
Abraham Z. Snyder,7,37
Florian Schroff,7,11
Ge Wang,7,126
Jiliu Zhou,7,126
Peixi Liao,7,126
Feng Lin,7,126
Mannudeep K. Kalra,7,126
Hu Chen,7,126
Edgar Simo-Serra,7,11
Soroush Mehri,7,3
Kundan Kumar,7,3
Dimitrios Marmanis,7,400
Virginia F. J. Newcombe,7,52
Konstantinos Kamnitsas,7,52
Christian Ledig,7,52
Ravindranath Duggirala,7,18
Laura Almasy,7,18
John Blangero,7,18
Peter Kochunov,7,18
Jose Sotelo,7,3
Shubham Jain,7,3
Rithesh Kumar,7,3
Ishaan Gulrajani,7,3
James Davidson,7,6
Pierre Baldi,7,4
Guoliang Kang,7,30
Liang Zheng,7,30
Damien A. Fair,7,37
Alexander L. Cohen,7,37
Evan Shelhamer,7,6
Junshi Huang,7,26
Yunchao Wei,7,26
Wei Xia,7,26
Illia Polosukhin,7,4
Aidan N. Gomez,7,4
Rahaf Aljundi,7,868
Matthias De Lange,7,868
Jin-Hui Zhu,7,867
"Huang, Junzhou",7,867
Levy Omer,7,60
Bart van Merriënboer,7,3
Sven Dähne,6,151
Christopher D. White,6,61
Ilana S. Warsofsky,6,61
Gary H. Glover,6,61
Çağlar Gu̇lçehre,6,3
Fethi Bougares,6,3
Yuanshun Yao,6,559
Shawn Shan,6,559
Huiying Li,6,559
Bimal Viswanath,6,559
Haitao Zheng,6,559
A Razavi,6,383
ASM Eslami,6,383
Jianke Zhu,6,375
Pengcheng Wu,6,375
Steven Chu-Hong Hoi,6,375
Ji Wan,6,375
Dayong Wang,6,375
Felix Bießmann,6,151
John-Dylan Haynes,6,151
Joy Zhang,6,558
Pang Wu,6,558
Jiang Zhu,6,558
Ole J. Mengshoel,6,558
Bo Yu,6,558
Ming Zeng,6,558
Le T. Nguyen,6,558
Bernhard Kainz,6,52
Mattias P. Heinrich,6,52
Phillipp Koehn,6,4
Thorsten Brants,6,4
Rachel Gimpel Smith,6,29
Heather Cody Hazlett,6,29
Joseph Piven,6,29
Manuel Costa,6,4
Kapil Vaswani,6,4
Aastha Mehta,6,4
Tianhe Yu,6,6
Angela S. Lin,6,6
Yonghui Li,6,178
Yong Liu,6,178
Jesse Bettencourt,6,3
Ciprian Chelba,6,4
J-Donald Tournier,6,327
Rory Sayres,6,4
"Chmiela, Stefan",6,678
Huziel Enoc Sauceda Felix,6,678
"Schütt, Kristof",6,678
"Kindermans, Pieter-Jan",6,678
Paul W. Burgess,6,675
Johannes Ballé,6,11
Wei Hua,6,11
Chenxi Liu,6,11
Li-Jia Li,6,11
Dan Popovici,6,3
Qi Ge,6,4
Kezhi Mao,6,4
Chunshui Yu,6,178
Wen Qin,6,178
Wei He,6,330
Tony Robinson,6,4
Edward H. Shortliffe,6,770
Chih-Lin I,6,178
Maged Elkashlan,6,178
Qi Sun,6,178
Jinho Choi,6,178
Yuanwei Liu,6,178
Chengyong Wu,6,42
Jia Wang,6,42
Ninghui Sun,6,42
Stephen M. Lawrie,6,675
J. Douglas Steele,6,675
Jon S. Simons,6,675
Stephanie Spengler,6,675
Sam J. Gilbert,6,675
"Sauceda Felix, Huziel Enoc",6,678
"Tkatchenko, Alexandre",6,678
Rebecca Hutchinson,6,10
Ameen Abu-Hanna,6,770
Riccardo Bellazzi,6,770
Xinyang Geng,6,6
Laurent Charlin,6,3
Ryan Lowe,6,3
florian solzbacher,6,441
richard a normann,6,441
Daniel J. Black,6,441
Robert O. Lovejoy,6,441
Ryan J. Kier,6,441
Reid R. Harrison,6,441
Paul T. Watkins,6,441
Michael R. Berthold,6,770
Peter Szolovits,6,770
Mario Stefanelli,6,770
Xuerui Wang,6,10
Daojian Zeng,6,100
John Pluta,6,72
Paul Yushkevich,6,72
Christo Pantev,6,802
Atsuko Gunji,6,802
Ryouhei Ishii,6,802
Michael J. Black,6,690
Dimitrios Tzionas,6,690
Ahmed A. A. Osman,6,690
Timo Bolkart,6,690
Nima Ghorbani,6,690
Vasileios Choutas,6,690
Georgios Pavlakos,6,690
Radu S. Niculescu,6,10
Tom M. Mitchell,6,10
Sita Chopra,6,183
Rebecca D. Ray,6,183
Jan Kautz,6,78
Pavlo Molchanov,6,78
Huizi Mao,6,24
Miao Zheng,6,76
Jiajun Bu,6,76
John Detre,6,72
Marc Korczykowski,6,72
David Minkoff,6,72
Bhuvana Ramabhadran,6,4
Agnieszka Grabska-Barwinska,6,3
Wojciech M. Czarnecki,6,3
Jonathan Schwarz,6,3
Jelena Luketina,6,3
Marcel Just,6,10
Austin Rovinski,6,458
Cao Gao,6,458
Yiping Kang,6,458
Johann Hauswald,6,458
Sharlene Newman,6,10
Ryan Sepassi,6,4
Ben Goodrich,6,4
Etienne Pot,6,4
Mohammad Saleh,6,4
Jian Cheng,6,11
Guang Qiu,6,76
Lijun Zhang,6,76
Can Wang,6,76
Chun Chen,6,76
Xiyu Zhai,6,126
James J. Gross,6,183
Ivan Titov,6,83
Efstratios Gavves,6,10
Lingjia Tang,6,458
Ian F. Akyildiz,6,23
Hieu Pham,6,4
David Dohan,6,4
Adams Wei Yu,6,4
Wilkin Chau,6,802
Cheryl Grady,6,802
Fergus I M Craik,6,802
Ellen Bialystok,6,802
Vijay Pande,6,117
Navdeep Jaitly,6,4
Vijay S. Pande,6,117
Jason Mars,6,458
Trevor N. Mudge,6,458
"Studer, Christoph",6,657
Andy Davis,6,4
Krzysztof Maziarz,6,4
Azalia Mirhoseini,6,4
Ishan Misra,6,4
Kees A. Vissers,6,432
Magnus Jahre,6,432
Philip Heng Wai Leong,6,432
Michaela Blott,6,432
Giulio Gambardella,6,432
Yaman Umuroglu,6,432
Nicholas J. Fraser,6,432
Juha R. Koikkalainen,6,52
Robin Wolz,6,52
Sen Wang,6,479
Simon J. Thorpe,6,181
"Ren, Yi",6,499
David R. Lester,6,329
Zehua Huang,6,70
Ding Liu,6,70
Pengfei Chen,6,70
Panqu Wang,6,70
"Suciu, Octavian",6,657
"Najibi, Mahyar",6,657
"Shafahi, Ali",6,657
"Huang, W. Ronny",6,657
Mykel J. Kochenderfer,6,196
Jean Ponce,6,6
Victor O. K. Li,6,249
Jiatao Gu,6,249
"Goldstein, Tom",6,657
"Dumitras, Tudor",6,657
Andrew D. Brown,6,329
Eustace Painkras,6,329
Jim D. Garside,6,329
Steve B. Furber,6,329
Jyrki M. P. Lötjönen,6,52
Richard Zhang,6,6
Michael J. Milford,6,429
Peter I. Corke,6,429
"Petroski Such, Felipe",6,22
"Molino, Piero",6,22
"Liu, Rosanne",6,22
"Lehman, Joel",6,22
"Zhao, Zhou",6,499
"Zhao, Sheng",6,499
"Tan, Xu",6,499
"Ruan, Yangjun",6,499
"Hermann, Karl Moritz",6,10
Yu Zheng,6,203
silvio savarese,6,202
"Battaglia, Peter",6,10
"Malinowski, Mateusz",6,10
David G. T. Barrett,6,10
"Santoro, Adam",6,10
"Raposo, David",6,10
Xiaodi Hou,6,70
Bernardo Severino,6,485
Fernando Lanas,6,485
Rodrigo Palma-Behnke,6,485
Carlos Benavides,6,485
Wangmeng Zuo,6,42
Kai Zhang,6,42
sumit chopra,6,6
Xue Gu,6,349
Tin Zhang,6,349
Yi-Lan Liao,6,349
Doris Sáez,6,485
Jacqueline Llanos,6,485
Lorenzo Reyes,6,485
James S. Plank,6,651
Garrett S. Rose,6,651
Mark E. Dean,6,651
J. Douglas Birdwell,6,651
Robert M. Patton,6,651
"Blunsom, Phil",6,10
"Suleyman, Mustafa",6,10
"Kay, Will",6,10
"Espeholt, Lasse",6,10
"Grefenstette, Edward",6,10
Rafael Bombarell,6,3
"Xia, Yingce",6,499
"He, Di",6,499
Edward T Bullmore,6,494
Yoon Kim,6,44
Pedram Ghamisi,6,150
Satrajit S. Ghosh,6,708
Michael L. Waskom,6,708
Yaroslav O. Halchenko,6,708
Dav Clark,6,708
Cindee M. Madison,6,708
Krzysztof J. Gorgolewski,6,708
Christopher D. Burns,6,708
"Sergeev, Alex",6,22
"Frank, Eric",6,22
Xiao-Ying Zheng,6,349
Kaheer Suleman,6,44
Philip Bachman,6,44
Justin Harris,6,44
Xingdi Yuan,6,44
Dougal Maclaurin,6,3
"Cho, Kyunghyun",6,22
Thomas E. Potok,6,651
Catherine D. Schuman,6,651
Timothée Masquelier,6,181
Saeed Reza Kheradpisheh,6,181
Alex Kurakin,6,4
Yutaka Leon Suematsu,6,4
Saurabh Saxena,6,4
Andrew Selle,6,4
Sherry Moore,6,4
Timothy Hirzel,6,3
"Ma, Wei-Ying",6,499
"Yu, Nenghai",6,499
Hao Chen,6,212
George Christakos,6,349
Xin-Hu Li,6,349
Jin-Feng Wang,6,349
John J. Leonard,6,429
Paul Newman 0001,6,429
Stephanie M. Lowry,6,429
Niko Sünderhauf,6,429
Mark A. Horowitz,6,24
Ardavan Pedram,6,24
Jing Pu,6,24
Xingyu Liu,6,24
"Sohl-Dickstein, Jascha",6,22
"Sahami, Mehran",6,22
"Huang, Jonathan",6,22
"Piech, Chris",6,22
"Bassen, Jonathan",6,22
Dhruv Batra,6,17
Devi Parikh,6,17
Xinbo Gao,6,792
Wei-Ying Ma,6,126
Nenghai Yu,6,126
Yingce Xia,6,126
Di He,6,126
Shih-Chii Liu,6,417
Michael P. Milham,6,258
F. Xavier Castellanos,6,258
Bharat B. Biswal,6,258
Lucina Q. Uddin,6,258
Stephan Günnemann,6,500
Chang Liu,6,34
"Tomioka, Ryota",6,215
Junhui Hou,6,81
Runmin Cong,6,81
Chunle Guo,6,81
Chongyi Li,6,81
Jussi Tohka,6,839
Aude Oliva,6,6
Tong Wang,6,44
Adam Trischler,6,44
Cheng-Lin Liu,6,645
Alex Martin,6,11
Hang Joon Jo,6,11
Gang Chen,6,11
Ziad S. Saad,6,11
Stephen J. Gotts,6,11
Christopher J. Pal,6,3
Nicolas Ballas,6,3
Li Yao,6,3
Atousa Torabi,6,3
David C. Kale,6,110
Roberto Cabeza,6,146
Jens Steinbrink,6,151
Siamac Fazli,6,151
Jan Mehnert,6,151
Jianming Liang,6,102
Michael B. Gotway,6,102
Thomas Ristenpart,6,70
Jae Y. Shin,6,102
Bolei Zhou,6,6
Marie-Helene Grosbras,6,18
Tomas Paus,6,18
Martin Riedmiller,6,10
Ioannis Antonoglou,6,10
Meeyoung Cha,6,419
Kam-Fai Wong,6,419
Hilkka Soininen,6,52
Gunhild Waldemar,6,52
Hakan Erdogan,6,718
Christopher B. Kendall,6,102
Ah Chung Tsoi,6,48
Thomas Nichols,6,47
Martin Grohe,6,117
Gaurav Rattan,6,117
Jan Eric Lenssen,6,117
Matthias Fey,6,117
Martin Ritzert,6,117
Robert W. Cox,6,11
Guo Chaoxu,6,521
Raman Arora,6,519
Zhe Chen,6,81
Michael Breakspear,6,494
"Choi, Yejin",6,846
"Roesner, Franziska",6,846
"Farhadi, Ali",6,846
"Bisk, Yonatan",6,846
"Rashkin, Hannah",6,846
"Zellers, Rowan",6,846
Zonghan Wu,6,51
W. Penny,6,50
Santiago Fernández,6,10
Philipp Krähenbühl,6,6
Jun Zhao,6,100
Kang Liu,6,100
Suryakanth R. Gurudu,6,102
Nima Tajbakhsh,6,102
francis eustache,6,719
V de la Sayette,6,719
brigitte landeau,6,719
guy perchey,6,719
beatrice desgranges,6,719
gael chetelat,6,719
J C Baron,6,719
Jonathan Le Roux,6,718
Li Hongsheng,6,521
Wang Xiaogang,6,521
Shi Jianping,6,521
Wang Zhe,6,521
Jiang Li,6,521
Shi Shaoshuai,6,521
John C Morris,6,120
Daniel Marcus,6,120
Anthony F Fotenos,6,120
Randy L Buckner,6,120
Denise Head,6,120
Craig Packer,6,5
Meredith S Palmer,6,5
Matthew D. Hoffman,6,4
Shuzhi Sam Ge,6,525
Huimin Ma,6,3
Andrew G. Berneshawi,6,3
Xiaozhi Chen,6,3
Kaustav Kundu,6,3
"Holtzman, Ari",6,846
Sam Kwong,6,81
R. Todd Hurst,6,102
W E Kaufmann,6,852
B Stieltjes,6,852
"Salakhutdinov, Russ R.",6,3
"Wang, Ruosong",6,3
"Li, Zhiyuan",6,3
"Hu, Wei",6,3
"Du, Simon S.",6,3
"Arora, Sanjeev",6,3
Rafal Józefowicz,6,4
Alexandros Karatzoglou,6,139
Lennart Thurfjell,6,52
Bernard J. Jansen,6,419
Sejeong Kwon,6,419
Dragomir Anguelov,6,249
Xiaorong Gao,6,522
Abraham Z Snyder,6,120
Yanghao Li,6,10
Wentao Zhu,6,10
"Yan, Feng",6,128
"Xu, Cong",6,128
Matthias Nießner,6,280
Justus Thies,6,280
Yong Yu,6,283
Alexandra Swanson,6,5
Margaret Kosmala,6,5
Mohammad Sadegh Norouzzadeh,6,5
Anh Nguyen,6,5
S Mori,6,852
M Solaiyappan,6,852
G D Pearlson,6,852
K Fredericksen,6,852
P C van Zijl,6,852
R. J. Gaudette,6,584
Yunchao Gong,6,30
Weili Lin,6,30
Li Wang,6,30
Andrew Stuart,6,693
Kaushik Bhattacharya,6,693
Burigede Liu,6,693
Zongyi Li,6,693
Nikola Kovachki,6,693
Martin A. Riedmiller,6,5
Murat Yücel,6,494
Luca Cocchi,6,494
Ian H Harding,6,494
Houtao Deng,6,30
Wenlu Zhang,6,30
Rongjian Li,6,30
Zemel Richard,6,530
Michaelis Claudio,6,530
Jacobsen Jörn-Henrik,6,530
Geirhos Robert,6,530
Yizhou Yu,6,529
Steven Lemm,6,151
Jiang Wang,6,30
Xiang Wang,6,249
"Carin, Lawrence",6,586
"Stevens, Andrew",6,586
"Li, Chunyuan",6,586
"Yuan, Xin",6,586
"Henao, Ricardo",6,586
"Pu, Yunchen",6,586
"Gan, Zhe",6,586
Quan Zhang,6,584
Mohamed Ishmael Belghazi,6,3
Aristide Baratin,6,3
Prasenjit Mitra,6,419
Wei Gao,6,419
Jing Ma,6,419
Stefan Wrobel,6,782
J D Gabrieli,6,731
K J Holyoak,6,731
J K Kroger,6,731
Z Zhao,6,731
J Dorfman,6,731
V Prabhakaran,6,731
K Christoff,6,731
Wichmann Felix A.,6,530
Bethge Matthias,6,530
Brendel Wieland,6,530
Shengping Zhang,6,81
E. L. Miller,6,584
D. H. Brooks,6,584
Kunal Talwar,6,68
Ilya Mironov,6,68
Martín Abadi,6,68
Andy Chu,6,68
Yichen Wei,6,67
Hojjat Adeli,6,80
Xinggang Wang,6,81
Baoguang Shi,6,81
M. Kilmer,6,584
C. A. DiMarzio,6,584
Felix Weninger,6,718
Sherjil Ozair,6,3
Sai Rajeshwar,6,3
Björn W. Schuller,6,718
Emmanuel Vincent,6,718
Weizhu Chen,6,76
Timothy D. Hirzel,6,3
Daniel S. Park,6,4
"Wen, Wei",6,128
Hado van Hasselt,6,10
Matteo Hessel,6,10
Gabriel Barth-Maron,6,10
David Budden,6,10
John Quan,6,10
Dan Horgan,6,10
Jongwoo Lim,6,81
Hongxun Yao,6,81
Lei Qin,6,81
Yuankai Qi,6,81
"Wang, Yandan",6,128
"Wu, Chunpeng",6,128
Kyle Krafka,6,6
Liang Lin,6,542
Pengcheng He,6,76
Liyuan Liu,6,76
Haoming Jiang,6,76
Yaguo Lei,6,582
Naipeng Li,6,582
Liang Guo,6,582
Christos Pantelis,6,494
Guodong Zhang,6,67
Yuwen Xiong,6,67
Haozhi Qi,6,67
Qihui Wu,6,107
Guoru Ding,6,107
Changhua Pei,6,6
Jian Wu,6,6
Zan Huang,6,250
Hsinchun Chen,6,250
Kenneth H. Buetow,6,363
Timo Hannay,6,363
Matthew Day,6,363
Jeffrey Buchoff,6,363
Shiva Krupa,6,363
Natalia V. Andrienko,6,782
Gennady L. Andrienko,6,782
John F. Kihsltrom,6,183
Jennifer S. Beer,6,183
Rafael Gómez-Bombarelli,6,3
"Li, Hai",6,128
"Chen, Yiran",6,128
Bai Wang,6,51
Chuan Shi,6,51
Xiao Wang,6,51
Houye Ji,6,51
Regina C Armstrong,6,149
Tuan Q Le,6,149
Jun Yoshino,6,149
Paulo Cortez,6,267
Suchendra Bhandarkar,6,6
Harini Kannan,6,6
Georg Northoff,6,253
Sebastian Thrun,6,3
Jianbing Shen,6,28
Peng Jiang,6,6
Wenwu Ou,6,6
Xiao Lin,6,6
Rudra P. K. Poudel,6,870
James H. Cole,6,870
Kira Anthony,6,363
Carl F. Schaefer,6,363
Huanbo Luan,6,30
Alan M. MacEachren,6,782
Abhinav Gupta,6,6
Chung-Cheng Chiu,6,4
Yu Zhang,6,4
William Chan,6,4
Menno-Jan Kraak,6,782
Daniel A. Keim,6,782
Jinlong Wang,6,107
Zhiyong Du,6,107
Peng Cui,6,51
Yanfang Ye,6,51
Philip A. Cook,6,29
Michiel Schaap,6,52
Piotr Jankowski,6,782
Junwei Han,6,402
Dawei Yin,6,28
Jiliang Tang,6,28
Eric Zhao,6,28
Yuan He,6,28
Ozan Oktay,6,52
Nicholas J. Tustison,6,29
Brian B. Avants,6,29
Giovanni Montana,6,870
Tim D. Spector,6,870
Claire Steves,6,870
Matthan W. A. Caan,6,870
Dimosthenis Tsagkrasoulis,6,870
Earl K. Miller,6,256
Melissa R. Warden,6,256
Nathaniel D. Daw,6,256
Xiao-Jing Wang,6,256
Stefano Fusi,6,256
Yao Ma,6,28
Wenqi Fan,6,28
Joshua B. Tenenbaum,6,119
Omri Barak,6,256
Shuo Feng,6,107
Yuhua Xu,6,107
Christian Grefkes,6,18
Hartmut Mohlberg,6,18
Klaas E Stephan,6,18
Alexander Egan,6,29
Yuanjie Zheng,6,29
Ossama Abdel-Hamid,6,4
Kai Görgen,6,151
Frank Meinecke,6,151
C Doersch,6,383
Nancy E. Adleman,6,61
Christine M. Blasey,6,61
J De Fauw,6,383
A Srinivas,6,383
Olivier Henaff,6,383
OJ Hénaff,6,383
Holger Schwenk,6,3
Gereon R Fink,6,18
Ben Y. Zhao,6,559
Bolun Wang,6,559
Jintao Li,6,375
Yongdong Zhang,6,375
Fernanda B. Viégas,6,4
James Wexler,6,4
Carrie Cai,6,4
Martin Wattenberg,6,4
Been Kim,6,4
Cédric Fournet,6,4
Jimmy Lei Ba,6,3
Olga Ohrimenko,6,4
Felix Schuster,6,4
Nicola De Stefano,6,18
Antonio Federico,6,18
P. M. Matthews,6,18
Jacqueline Chen,6,18
Yongyue Zhang,6,18
Ruining He,6,117
Gerald Penn,6,4
Chunhong Pan,5,645
andreas damianou,5,2
zhenwen dai,5,2
cesar lincoln c mattos,5,2
Gabriele Lohmann,5,767
Angela D. Friederici,5,767
Hui Jiang 0001,5,4
Kaifeng Chen,5,117
Pong Eksombatchai,5,117
 Cheng Gong,5,28
 Yang Cao,5,28
 Bo Ren,5,28
Shiming Xiang,5,645
Juha Pärkkä,5,393
Miikka Ermes,5,393
Alexandre Sablayrolles,5,122
Dennis A. Benson,5,118
Karen Clark,5,118
Ilene Karsch-Mizrachi,5,118
David J. Lipman,5,118
Deanna M. Barch,5,18
Timothy Edward John Behrens,5,18
Essa Yacoub,5,18
Kamil Ugurbil,5,18
Hedy Kober,5,47
Lisa Feldman Barrett,5,47
Josh Joseph,5,47
Eliza Bliss-Moreau,5,47
Kristen Lindquist,5,47
Wang Yaping,5,260
Philipp Berens,5,53
Tom Baden,5,53
katharina j franke,5,53
Miroslav Román Rosón,5,53
Thomas Euler,5,53
Zhang Daoqiang,5,260
J Vanthienen,5,561
Federico D'Agata,5,562
Franco Cauda,5,562
Katiuscia Sacco,5,562
Sergio Duca,5,562
Giuliano Geminiani,5,562
Jens Pruessner,5,173
Montserrat Robles,5,173
D Louis Collins,5,173
Matthew W. Moskewicz,5,6
B Baesens,5,561
T Van Gestel,5,561
S Viaene,5,561
M Stepanova,5,561
Jaak Panksepp,5,253
David C. Van Essen,5,18
Alexander Heinzel,5,253
Moritz de Greck,5,253
Felix Bermpohl,5,253
Henrik Dobrowolny,5,253
Jorge Albericio,5,567
Patrick Judd,5,567
Tayler H. Hetherington,5,567
Tor M. Aamodt,5,567
Natalie D. Enright Jerger,5,567
Andreas Moshovos,5,567
Gao Huang,5,78
Zhuang Liu,5,78
John E. Hopcroft,5,78
José V Manjón,5,173
Pierrick Coupé,5,173
J Suykens,5,561
"Kim, Been",5,3
Steven C H Hoi,5,28
Catriona D. Good,5,247
Ingrid Johnsrude,5,247
Richard N. A. Henson,5,247
Richard S. J. Frackowiak,5,247
Edward Grefenstette,5,10
Phil Blunsom,5,10
Arthur Szlam,5,4
Christophe Garcia,5,543
Mang Ye,5,28
Gaojie Lin,5,28
Tao Xiang,5,28
David Held,5,4
"Adebayo, Julius",5,3
Alessandro Vercelli,5,562
Kai Zhao,5,81
Xinyu Zhang,5,81
Rupert Lanzenberger,5,856
Ewald Moser,5,856
K. Luan Phan,5,47
Meng Li,5,246
Yue Zhao,5,246
Liangzhen Lai,5,246
Damon Civin,5,246
Si Liu,5,81
Hua Zhang,5,81
Jin-shan Pan,5,81
Xiaochun Cao,5,81
"Gilmer, Justin",5,3
"Muelly, Michael",5,3
"Hardt, Moritz",5,3
taelim choi,5,446
lu yang,5,446
dongjun shin,5,446
Luc J. Van Gool,5,400
Inkyu Sa,5,535
ZongYuan Ge,5,535
Feras Dayoub,5,535
Ben Upcroft,5,535
Tristan Perez,5,535
Chris McCool,5,535
Lizi Liao,5,249
Joonho Lee,5,5
Dario Bellicoso,5,5
Vassilios Tsounis,5,5
Marco Hutter,5,5
Shanghua Gao,5,81
Ali Borji,5,81
Stefan Schaal,5,4
haoyuan gao,5,11
Andreas Rössler,5,280
eunhyeok park,5,446
sungjoo yoo,5,446
Christian Windischberger,5,856
Ivan Laptev,5,3
patrick mcdaniel,5,70
matt fredrikson,5,70
z berkay celik,5,70
G. E. Dahl,5,50
Zhenman Fang,5,133
Peipei Zhou,5,133
Peichen Pan,5,133
Abhishek Kumar,5,4
Zhenyu Qi,5,855
Suncong Zheng,5,855
Jiaming Xu,5,855
Hongyun Bao,5,855
Bo Xu,5,855
Andreas Weissenbacher,5,856
Christian Kasess,5,856
Florian Gerstl,5,856
Jost Tobias Springenberg,5,5
Seungjun Nah,5,56
Kyoung Mu Lee,5,56
Annamalai Narayanan,5,126
Mahinthan Chandramohan,5,126
Simon Kornblith,5,4
Won-Kyu Ju,5,149
Arthur H Neufeld,5,149
"Li, Yijun",5,590
"Yang, Jimei",5,590
"Wang, Zhaowen",5,590
"Lu, Xin",5,590
"Yang, Ming-Hsuan",5,590
Zhenye Li,5,850
Yazhuo Zhang,5,850
Yong Fan,5,850
Christian Riess,5,280
Alexander Ku,5,4
Meng-Hsiang Hsu,5,54
jie zhou,5,11
lei wang,5,11
Haoyuan Gao,5,30
Lei Wang,5,30
Peng Zhou,5,855
R. Pickholtz,5,599
Wei-Lun Chao,5,78
Yan Wang,5,78
Divyansh Garg,5,78
Mark Campbell,5,78
Rajasekar Venkatesan,5,126
Lihui Chen,5,126
Shantanu Jaiswal,5,126
Danilo Jimenez Rezende,5,10
Taco S. Cohen,5,83
Nicholas J Tustison,5,72
Gang Song,5,72
Philip A Cook,5,72
Arno Klein,5,72
"Fang, Chen",5,590
Anna Choromanska,5,4
Chaohui Wang,5,81
Xue Mei,5,81
Danil V. Prokhorov,5,81
eitan sharon,5,881
jason j corso,5,881
shishir dube,5,881
suzie elsaden,5,881
usha sinha,5,881
alan yuille,5,881
Robert J Howard,5,230
Derek K Jones,5,230
I. Stanojev,5,599
O. Simeone,5,599
S. Savazzi,5,599
Y. Bar-Ness,5,599
U. Spagnolini,5,599
Swarat Chaudhuri,5,624
Martin T. Vechev,5,624
Tao Shen,5,51
Fengwen Chen,5,51
Hanjun Dai,5,882
NAN DU,5,882
Rakshit Trivedi,5,882
Utkarsh Upadhyay,5,882
Manuel Gomez-Rodriguez,5,882
Li Dong,5,114
Ke Xu,5,114
JunYoung Gwak,5,11
Xiaomei Zhao,5,850
Yihong Wu,5,850
Guidong Song,5,850
Zhibin Hong,5,81
Zichen Zhang,5,510
Chenyang Huang,5,510
Chao Gao,5,510
Masood Dehghan,5,510
Martin Jägersand,5,510
Le Song,5,882
Jonathan S Adelstein,5,258
Hamido Fujita,5,80
Jen-Hong Tan,5,80
Muhammad Adam,5,80
D. E. Glaser,5,50
R. N. A. Henson,5,50
